date,total_trips
2014-04-29,22835
2014-04-15,20641
2014-04-18,18074
2014-05-11,14901
2014-05-01,23375
2014-05-14,22218
2014-04-08,16188
2014-05-07,21891
2014-05-24,14651
2014-04-05,19521
2014-04-25,25095
2014-04-16,17717
2014-05-28,22240
2014-04-27,14677
2014-05-02,24235
2014-05-29,24930
2014-05-30,24413
2014-05-31,21261
2014-04-11,20420
2014-04-20,11017
2014-04-12,18170
2014-04-10,20041
2014-05-12,17470
2014-05-25,10841
2014-05-26,10202
2014-05-27,17004
2014-05-21,23508
2014-04-13,12112
2014-05-18,16508
2014-04-01,14546
2014-04-03,20701
2014-04-07,19550
2014-05-20,20860
2014-05-05,17859
2014-04-30,36251
2014-04-14,12674
2014-05-04,13918
2014-05-17,22294
2014-05-15,26301
2014-04-22,16975
2014-05-08,27513
2014-05-22,26802
2014-05-03,22234
2014-04-26,24925
2014-04-17,20973
2014-04-02,17474
2014-04-28,15475
2014-04-09,16843
2014-05-23,26465
2014-05-06,19300
2014-04-24,23352
2014-04-19,14602
2014-04-21,13162
2014-05-16,32493
2014-04-23,20346
2014-05-13,19498
2014-04-06,13445
2014-05-09,26385
2014-05-10,22550
2014-05-19,18315
2014-04-04,26714
2014-06-03,15410
2014-06-11,10833
2014-06-13,13033
2014-06-23,7015
2014-06-22,6406
2014-06-19,11870
2014-06-21,8007
2014-06-09,9965
2014-06-15,6018
2014-06-05,13065
2014-06-26,11169
2014-06-14,8100
2014-06-30,7243
2014-06-02,11635
2014-06-18,10109
2014-06-12,12488
2014-06-24,8174
2014-06-10,9843
2014-06-17,9100
2014-06-27,9700
2014-06-28,8179
2014-06-04,15652
2014-06-20,9678
2014-06-25,10455
2014-06-01,10829
2014-06-07,8945
2014-06-16,7471
2014-06-08,6723
2014-06-06,10621
2014-06-29,6756
